Team,unique_id,Arena,Capacity,City,State,Latitude,Longitude,Logos
Abilene Christian,1,Moody Coliseum,4600,Abilene,TX,32.470783,-99.709147,Logos/Abilene Christian.gif
Air Force,2,Clune Arena,5858,Colorado Springs,CO,39.013952,-104.883787,Logos/Air Force.gif
Akron,3,James A. Rhodes Arena,5500,Akron,OH,41.075816,-81.50601,Logos/Akron.gif
Alabama,4,Coleman Coliseum,15383,Tuscaloosa,AL,33.203609,-87.53953,Logos/Alabama.gif
Alabama A&M,5,Elmore Gymnasium,6000,Normal,AL,34.785559,-86.575436,Logos/Alabama A&M.gif
Alabama St.,6,Dunn-Oliver Acadome,7400,Montgomery,AL,32.361867,-86.29318,Logos/Alabama St..gif
Albany,7,SEFCU Arena,4538,Guilderland,NY,42.68222,-73.828309,Logos/Albany.gif
Alcorn St.,8,Davey Whitney Complex,7000,Lorman,MS,31.873585,-91.133198,Logos/Alcorn St..gif
American,9,Bender Arena,4500,Washington,DC,38.938637,-77.088249,Logos/American.gif
Appalachian St.,10,George M. Holmes Convocation Center,8325,Boone,NC,36.211562,-81.674992,Logos/Appalachian St..gif
Arizona,11,McKale Center,14545,Tucson,AZ,32.230408,-110.948059,Logos/Arizona.gif
Arizona St.,12,Desert Financial Arena,14100,Tempe,AZ,33.425283,-111.92864,Logos/Arizona St..gif
Arkansas,13,Bud Walton Arena,19368,Fayetteville,AR,36.062464,-94.177369,Logos/Arkansas.gif
Arkansas Little Rock,14,Jack Stephens Center,5600,Little Rock,AR,34.729086,-92.338826,Logos/Arkansas Little Rock.gif
Arkansas Pine Bluff,15,K. L. Johnson Complex,4500,Pine Bluff,AR,34.246573,-92.021619,Logos/Arkansas Pine Bluff.gif
Arkansas St.,16,First National Bank Arena,10563,Jonesboro,AR,35.845998,-90.672396,Logos/Arkansas St..gif
Army,17,Christl Arena,5043,West Point,NY,41.38697,-73.964486,Logos/Army.gif
Auburn,18,Auburn Arena,9121,Auburn,AL,32.603843,-85.490053,Logos/Auburn.gif
Austin Peay,19,Dunn Center,9000,Clarksville,TN,36.019608,-77.7769,Logos/Austin Peay.gif
Ball St.,20,John E. Worthen Arena,11500,Muncie,IN,40.207722,-85.403697,Logos/Ball St..gif
Baylor,21,Ferrell Center,10347,Waco,TX,31.548617,-97.104296,Logos/Baylor.gif
Belmont,22,Curb Event Center,5085,Nashville,TN,36.133194,-86.795917,Logos/Belmont.gif
Bethune Cookman,23,Moore Gymnasium,3000,Daytona,FL,29.213052,-81.028984,Logos/Bethune Cookman.gif
Binghamton,24,Binghamton University Events Center,5142,Vestal,NY,42.094525,-75.968009,Logos/Binghamton.gif
Boise St.,26,Taco Bell Arena,12480,Boise,ID,43.604233,-116.19744,Logos/Boise St..gif
