Team_Year,Unique_Identifier,Conference,Year,Overall_Rank,Wins,Loss,AdjO,AdjD,AdjT,Luck,Strength_of_Schedule_Opp_O,Strength_of_Schedule_Opp_D,Opp_2P,Opp_3P,Opp_FT,Defense_Blk,Defense_Stl,Opp_NST,Opp_A,Opp_3P_Attempts,Off_2P,Off_3P,Off_FT,Off_Blk,Off_Stl,Off_NST,Off_A,Off_3P_Attempts,Off_eFG,Off_TO,Off_Reb,Off_FT_Rate,Opp_eFG,Opp_TO,Def_Reb,Opp_FT_Rate,Avg_Height,Experience,Bench,Continuity
Appalachian St. 2008,10,SC,2008,141,18,13,105.8,103.4,65.3,0.003,103.6,104.4,45,35.4,67.3,12.2,9,9.1,49.4,34.4,52.5,38.5,68.5,6.8,9.7,12,53.6,36.9,54.5,21.7,29.7,36,47.8,18.2,32,31.1,76.2,1.77,35.1,53.2
George Mason 2008,100,CAA,2008,80,23,11,110.7,101,61.6,-0.01,102.6,103.2,46.4,33.2,71.7,8.7,8.7,9.3,51.2,33.1,52.3,34.8,70.3,7.5,9.1,9.3,53.8,33.1,52.3,18.4,30.9,39.8,47.5,18.1,25.9,27,76.2,2.01,24.3,71.9
George Washington 2008,101,A10,2008,171,9,17,100.9,102,63.4,-0.057,107.4,101.9,48.6,33.8,67.6,10.7,9.8,10,64.7,42.9,46.1,32.8,68.6,9.4,11,11.3,54.6,36.2,47.2,22.3,33.2,31.1,49.5,19.8,32.9,38.2,76.8,1.58,34.3,40.4
Georgetown 2008,102,BE,2008,7,28,6,115.2,89.7,60.5,0.029,108.2,99.8,40.5,29.9,68,13.8,10.9,8,53.4,35.3,56.3,38.4,65.2,8.5,11.1,10.2,61.8,40.2,56.8,21.3,31.8,34.2,42,18.9,30.8,36,77.9,1.78,33.1,73.3
Georgia 2008,103,SEC,2008,91,17,17,104.3,96.2,64.7,-0.032,108.5,101,49.1,30.9,64.8,9.3,9.7,9,52.2,35,46.9,33.2,67.6,9.9,10,11.3,47.1,31.6,47.8,21.3,35.8,31.8,48.1,18.7,30.2,33.6,77.2,1.69,29.9,45.8
Georgia Southern 2008,104,SC,2008,128,20,12,106,102.2,69,0.019,104.1,104.4,48.7,35.5,69.6,10.9,12.6,9.2,52.5,34.4,49.1,34.5,66.5,7.6,8.9,10.8,55.9,28.7,49.9,19.7,35.1,34.2,50.3,21.9,30.6,41.2,75.7,2.11,29.4,54.6
Georgia St. 2008,105,CAA,2008,252,9,21,98.3,106.8,62.2,-0.016,101.4,104.2,52,35.3,69.7,7.2,10.8,10.1,57.5,36.3,44.5,37,64.3,9,10.4,12.4,47,30.3,47.9,22.9,34.1,32.3,52.3,20.9,28.4,43,76.8,1.44,34.2,48
Georgia Tech 2008,106,ACC,2008,53,15,17,114.5,101.4,68.6,-0.077,109.5,98,51.5,33.8,70.2,9.8,11.4,10.4,54.9,35.8,51.5,37.2,70.1,8.3,10.5,10.5,54.5,30.7,52.8,21,32.9,38.2,51.2,21.8,33.4,48.7,77.3,1.86,37.3,43.7
Gonzaga 2008,107,WCC,2008,25,25,8,114.5,95.5,65.9,-0.029,104,101.5,43.7,32.6,64.8,13,11.1,9.9,50.9,37.1,53.6,37.5,71.2,8.9,10.1,10.5,53.6,31.9,54.5,20.6,33.9,39.7,45.7,21,27.4,32.1,78.4,1.54,32.9,60.3
Grambling St. 2008,108,SWAC,2008,338,7,19,90.9,115.2,68.4,0.019,94.7,107.9,47.7,32.9,69.7,6.3,6.2,9.5,47.5,28.4,45.1,33.4,61.6,10.6,11,11.8,51,28.6,46.6,22.8,29.9,31.4,48.2,15.7,32.1,42.2,75.8,1.36,34,46.9
